listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0224,,Particulier Facebook,Kia,Sportage,III,2011,35000000,35M Ar,MGA,private_market,False,125000,125000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0225,,Particulier Facebook,Kia,Sportage,IV,2017,55000000,55M Ar,MGA,private_market,False,100000,100000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0226,,Particulier Facebook,Hyundai,Santa fe,II,2008,28000000,28M Ar,MGA,private_market,False,170000,170000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0227,,Particulier Facebook,Hyundai,Santa fe,III,2014,42000000,42M Ar,MGA,private_market,False,145000,145000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0228,,Particulier Facebook,Hyundai,Tucson,,2012,40000000,40M Ar,MGA,private_market,False,145000,145000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0229,,Particulier Facebook,Hyundai,Ix35,,2011,40000000,40M Ar,MGA,private_market,False,160000,160000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0230,,Particulier Facebook,Hyundai,I30,,2015,38000000,38M Ar,MGA,private_market,False,90000,90000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0231,,Particulier Facebook,Hyundai,i40,,2016,44000000,44M Ar,MGA,private_market,False,75000,75000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0232,,Particulier Facebook,Hyundai,Galoper,I,2003,75000000,75M Ar,MGA,private_market,False,240000,240000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0233,,Particulier Facebook,Hyundai,Galoper,II,2007,80000000,80M Ar,MGA,private_market,False,190000,190000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
